P_City,SaleDate,TotalSales,Cum_Sales
" ANTIOCH",2014-08-02,140000,436686339
" ANTIOCH",2014-08-04,537900,437224239
" ANTIOCH",2014-08-05,592400,437816639
" ANTIOCH",2014-08-06,499000,438315639
" ANTIOCH",2014-08-07,869250,439184889
" ANTIOCH",2014-08-08,1308400,440493289
" ANTIOCH",2014-08-11,195000,440688289
" ANTIOCH",2014-08-12,622400,441310689
" ANTIOCH",2014-08-13,637300,441947989
" ANTIOCH",2014-08-14,601811,442549800
" ANTIOCH",2014-08-15,1182300,443732100
" ANTIOCH",2014-08-18,241657,443973757
" ANTIOCH",2014-08-19,434900,444408657
" ANTIOCH",2014-08-20,170000,444578657
" ANTIOCH",2014-08-21,1003900,445582557
" ANTIOCH",2014-08-22,1188500,446771057
" ANTIOCH",2014-08-25,906100,447677157
" ANTIOCH",2014-08-26,127071694,574748851
" ANTIOCH",2014-08-27,245000,574993851
" ANTIOCH",2014-08-28,6469974,581463825
" ANTIOCH",2014-08-29,4138690,585602515
" ANTIOCH",2014-09-01,78000,585680515
" ANTIOCH",2014-09-02,438588,586119103
" ANTIOCH",2014-09-03,753600,586872703
" ANTIOCH",2014-09-04,703000,587575703
" ANTIOCH",2014-09-05,949300,588525003
" ANTIOCH",2014-09-08,195000,588720003
" ANTIOCH",2014-09-09,607050,589327053
" ANTIOCH",2014-09-11,127000,589454053
" ANTIOCH",2014-09-12,1709700,591163753
" ANTIOCH",2014-09-15,809757,591973510
" ANTIOCH",2014-09-16,111000,592084510
" ANTIOCH",2014-09-17,2902124,594986634
" ANTIOCH",2014-09-18,540199,595526833
" ANTIOCH",2014-09-19,1209349,596736182
" ANTIOCH",2014-09-22,757900,597494082
" ANTIOCH",2014-09-23,804400,598298482
" ANTIOCH",2014-09-24,1455490,599753972
" ANTIOCH",2014-09-25,835000,600588972
" ANTIOCH",2014-09-26,2541000,603129972
" ANTIOCH",2014-09-29,840400,603970372
" ANTIOCH",2014-09-30,2053384,606023756
" ANTIOCH",2014-10-01,1920800,607944556
" ANTIOCH",2014-10-02,423980,608368536
" ANTIOCH",2014-10-03,1259296,609627832
" ANTIOCH",2014-10-04,111500,609739332
" ANTIOCH",2014-10-06,901900,610641232
" ANTIOCH",2014-10-07,664000,611305232
" ANTIOCH",2014-10-08,624622,611929854
" ANTIOCH",2014-10-09,803565,612733419
" ANTIOCH",2014-10-10,1601800,614335219
" ANTIOCH",2014-10-13,219900,614555119
" ANTIOCH",2014-10-14,1160725,615715844
" ANTIOCH",2014-10-15,332500,616048344
" ANTIOCH",2014-10-16,132900,616181244
" ANTIOCH",2014-10-17,1044765,617226009
" ANTIOCH",2014-10-20,363000,617589009
" ANTIOCH",2014-10-21,345000,617934009
" ANTIOCH",2014-10-22,435900,618369909
" ANTIOCH",2014-10-23,453000,618822909
" ANTIOCH",2014-10-24,1057099,619880008
" ANTIOCH",2014-10-25,145500,620025508
" ANTIOCH",2014-10-27,1017800,621043308
" ANTIOCH",2014-10-28,1446045,622489353
" ANTIOCH",2014-10-29,929851,623419204
" ANTIOCH",2014-10-30,1757900,625177104
" ANTIOCH",2014-10-31,2407300,627584404
" ANTIOCH",2014-11-03,178000,627762404
" ANTIOCH",2014-11-04,661700,628424104
" ANTIOCH",2014-11-05,442900,628867004
" ANTIOCH",2014-11-06,473094,629340098
" ANTIOCH",2014-11-07,1617939,630958037
" ANTIOCH",2014-11-08,261750,631219787
" ANTIOCH",2014-11-10,1005390,632225177
" ANTIOCH",2014-11-12,572350,632797527
" ANTIOCH",2014-11-13,405300,633202827
" ANTIOCH",2014-11-14,1859518,635062345
" ANTIOCH",2014-11-17,575190,635637535
" ANTIOCH",2014-11-18,494900,636132435
" ANTIOCH",2014-11-19,313183,636445618
" ANTIOCH",2014-11-20,485500,636931118
" ANTIOCH",2014-11-21,1209376,638140494
" ANTIOCH",2014-11-24,1081880,639222374
" ANTIOCH",2014-11-25,1474250,640696624
" ANTIOCH",2014-11-26,1188670,641885294
" ANTIOCH",2014-11-28,97900,641983194
" ANTIOCH",2014-12-01,1036300,643019494
" ANTIOCH",2014-12-02,493000,643512494
" ANTIOCH",2014-12-03,155000,643667494
" ANTIOCH",2014-12-04,900849,644568343
" ANTIOCH",2014-12-05,611461,645179804
" ANTIOCH",2014-12-08,152000,645331804
" ANTIOCH",2014-12-09,521163,645852967
" ANTIOCH",2014-12-10,1227500,647080467
" ANTIOCH",2014-12-11,505400,647585867
" ANTIOCH",2014-12-12,1217000,648802867
" ANTIOCH",2014-12-15,373150,649176017
" ANTIOCH",2014-12-16,1462437,650638454
" ANTIOCH",2014-12-17,195000,650833454
" ANTIOCH",2014-12-18,1876177,652709631
" ANTIOCH",2014-12-19,2813003,655522634
" ANTIOCH",2014-12-22,1213450,656736084
" ANTIOCH",2014-12-23,579500,657315584
" ANTIOCH",2014-12-24,105000,657420584
" ANTIOCH",2014-12-29,1421555,658842139
" ANTIOCH",2014-12-30,1482246,660324385
" ANTIOCH",2014-12-31,1108339,661432724
" ANTIOCH",2015-01-02,136500,661569224
" ANTIOCH",2015-01-03,109900,661679124
" ANTIOCH",2015-01-05,1093190,662772314
" ANTIOCH",2015-01-06,425900,663198214
" ANTIOCH",2015-01-07,582272,663780486
" ANTIOCH",2015-01-08,67000,663847486
" ANTIOCH",2015-01-09,885131,664732617
" ANTIOCH",2015-01-12,212500,664945117
" ANTIOCH",2015-01-13,401000,665346117
" ANTIOCH",2015-01-14,40681315,706027432
" ANTIOCH",2015-01-15,981600,707009032
" ANTIOCH",2015-01-16,1843122,708852154
" ANTIOCH",2015-01-19,250000,709102154
" ANTIOCH",2015-01-20,1257730,710359884
" ANTIOCH",2015-01-22,124900,710484784
" ANTIOCH",2015-01-23,734976,711219760
" ANTIOCH",2015-01-26,558500,711778260
" ANTIOCH",2015-01-27,276400,712054660
" ANTIOCH",2015-01-28,125000,712179660
" ANTIOCH",2015-01-29,793900,712973560
" ANTIOCH",2015-01-30,1783538,714757098
" ANTIOCH",2015-02-02,1160000,715917098
" ANTIOCH",2015-02-04,200000,716117098
" ANTIOCH",2015-02-05,612300,716729398
" ANTIOCH",2015-02-06,35,716729433
" ANTIOCH",2015-02-09,203700,716933133
